,type_id,groupID,typeName,packagedVolume
150,394,39,Shield Recharger II,5.0
151,399,40,Small Shield Booster I,5.0
152,400,40,Small Shield Booster II,5.0
153,405,41,'Micro' Remote Shield Booster,2.5
154,406,41,Micro Remote Shield Booster II,2.5
155,421,43,'Basic' Capacitor Recharger,5.0
156,434,46,5MN Microwarpdrive I,10.0
157,438,46,1MN Afterburner II,5.0
158,439,46,1MN Afterburner I,5.0
159,440,46,5MN Microwarpdrive II,10.0
160,442,47,Cargo Scanner I,5.0
161,443,48,Ship Scanner I,5.0
162,444,49,Survey Scanner I,5.0
163,447,52,Warp Scrambler I,5.0
164,448,52,Warp Scrambler II,5.0
165,450,53,Gatling Pulse Laser I,5.0
166,451,53,Dual Light Pulse Laser I,5.0
167,452,53,Dual Light Beam Laser I,5.0
168,453,53,Small Focused Pulse Laser I,5.0
169,454,53,Small Focused Beam Laser I,5.0
170,455,53,Quad Light Beam Laser I,10.0
171,456,53,Focused Medium Pulse Laser I,10.0
172,457,53,Focused Medium Beam Laser I,10.0
173,458,53,Heavy Pulse Laser I,25.0
174,459,53,Heavy Beam Laser I,25.0
175,460,53,Dual Heavy Pulse Laser I,20.0
176,461,53,Dual Heavy Beam Laser I,50.0
177,462,53,Mega Pulse Laser I,50.0
178,463,53,Mega Beam Laser I,50.0
179,464,53,Tachyon Beam Laser I,50.0
180,482,54,Miner II,5.0
181,483,54,Miner I,5.0
182,484,55,125mm Gatling AutoCannon I,5.0
183,485,55,150mm Light AutoCannon I,5.0
184,486,55,200mm AutoCannon I,5.0
185,487,55,250mm Light Artillery Cannon I,5.0
186,488,55,280mm Howitzer Artillery I,5.0
187,489,55,Dual 180mm AutoCannon I,10.0
188,490,55,220mm Vulcan AutoCannon I,10.0
189,491,55,425mm AutoCannon I,10.0
190,492,55,650mm Artillery Cannon I,25.0
191,493,55,720mm Howitzer Artillery I,25.0
192,494,55,Dual 425mm AutoCannon I,20.0
193,495,55,Dual 650mm Repeating Cannon I,50.0
194,496,55,800mm Repeating Cannon I,25.0
195,497,55,1200mm Artillery Cannon I,50.0
196,498,55,1400mm Howitzer Artillery I,50.0
197,499,509,Light Missile Launcher I,5.0
198,501,510,Heavy Missile Launcher I,10.0
199,503,508,Torpedo Launcher I,20.0
200,506,767,'Basic' Capacitor Power Relay,5.0
201,508,770,'Basic' Shield Flux Coil,5.0
202,509,768,'Basic' Capacitor Flux Coil,5.0
203,518,59,'Basic' Gyrostabilizer,5.0
204,519,59,Gyrostabilizer II,5.0
205,520,59,Gyrostabilizer I,5.0
206,521,60,'Basic' Damage Control,5.0
207,522,61,'Micro' Cap Battery,2.5
208,523,62,Small Armor Repairer I,5.0
209,524,63,Small Hull Repairer I,12.5
210,526,65,Stasis Webifier I,5.0
211,527,65,Stasis Webifier II,5.0
212,529,67,Small Remote Capacitor Transmitter I,5.0
213,530,68,Small Energy Nosferatu I,5.0
214,533,71,Small Energy Neutralizer I,5.0
215,561,74,75mm Gatling Rail I,5.0
216,562,74,Light Electron Blaster I,5.0
217,563,74,Light Ion Blaster I,5.0
218,564,74,Light Neutron Blaster I,5.0
219,565,74,150mm Railgun I,5.0
220,566,74,Heavy Electron Blaster I,10.0
221,567,74,Dual 150mm Railgun I,10.0
222,568,74,Heavy Neutron Blaster I,25.0
223,569,74,Heavy Ion Blaster I,10.0
224,570,74,250mm Railgun I,25.0
225,571,74,Electron Blaster Cannon I,50.0
226,572,74,Dual 250mm Railgun I,20.0
227,573,74,Neutron Blaster Cannon I,50.0
228,574,74,425mm Railgun I,50.0
229,575,74,Ion Blaster Cannon I,50.0
230,577,76,Medium Capacitor Booster I,10.0
231,578,77,Multispectrum Shield Hardener I,5.0
232,580,80,Burst Jammer I,5.0
233,581,82,Passive Targeter I,25.0
234,582,25,Bantam,2500.0
235,583,25,Condor,2500.0
236,584,25,Griffin,2500.0
237,585,25,Slasher,2500.0
238,586,25,Probe,2500.0
239,587,25,Rifter,2500.0
240,588,237,Reaper,2500.0
241,589,25,Executioner,2500.0
242,590,25,Inquisitor,2500.0
243,591,25,Tormentor,2500.0
244,592,25,Navitas,2500.0
245,593,25,Tristan,2500.0
246,594,25,Incursus,2500.0
247,595,25,Gallente Police Ship,2500.0
248,596,237,Impairor,2500.0
249,597,25,Punisher,2500.0
250,598,25,Breacher,2500.0
251,599,25,Burst,2500.0
252,600,25,Minmatar Peacekeeper Ship,2500.0
253,601,237,Ibis,2500.0
254,602,25,Kestrel,2500.0
255,603,25,Merlin,2500.0
256,605,25,Heron,2500.0
257,606,237,Velator,2500.0
258,607,25,Imicus,2500.0
259,608,25,Atron,2500.0
260,609,25,Maulus,2500.0
261,613,25,Devourer,2500.0
262,614,25,Fury,2500.0
263,615,237,Immolator,2500.0
264,616,25,Medusa,2500.0
265,617,237,Echo,2500.0
266,618,25,Lynx,2500.0
267,619,25,Swordspine,2500.0
268,620,26,Osprey,10000.0
269,621,26,Caracal,10000.0
270,622,26,Stabber,10000.0
271,623,26,Moa,10000.0
272,624,26,Maller,10000.0
273,625,26,Augoror,10000.0
274,626,26,Vexor,10000.0
275,627,26,Thorax,10000.0
276,628,26,Arbitrator,10000.0
277,629,26,Rupture,10000.0
278,630,26,Bellicose,10000.0
279,631,26,Scythe,10000.0
280,632,26,Blackbird,10000.0
281,633,26,Celestis,10000.0
282,634,26,Exequror,10000.0
283,635,26,Opux Luxury Yacht,10000.0
284,638,27,Raven,50000.0
285,639,27,Tempest,50000.0
286,640,27,Scorpion,50000.0
287,641,27,Megathron,50000.0
288,642,27,Apocalypse,50000.0
289,643,27,Armageddon,50000.0
290,644,27,Typhoon,50000.0
291,645,27,Dominix,50000.0
292,648,28,Badger,20000.0
293,649,28,Tayra,20000.0
294,650,28,Nereus,20000.0
295,651,28,Hoarder,20000.0
296,652,28,Mammoth,20000.0
297,653,28,Wreathe,20000.0
298,654,28,Kryos,20000.0
299,655,28,Epithal,20000.0
300,656,28,Miasmos,20000.0
301,657,28,Iteron Mark V,20000.0
302,670,29,Capsule,500.0
303,671,30,Erebus,10000000.0
304,672,31,Caldari Shuttle,500.0
305,681,104,Clone Grade Beta Blueprint,0.01
306,682,104,Clone Grade Gamma Blueprint,0.01
307,683,105,Bantam Blueprint,0.01
308,684,105,Condor Blueprint,0.01
309,685,105,Griffin Blueprint,0.01
310,686,106,Osprey Blueprint,0.01
311,687,106,Caracal Blueprint,0.01
312,688,107,Raven Blueprint,0.01
313,689,105,Slasher Blueprint,0.01
314,690,105,Probe Blueprint,0.01
315,691,105,Rifter Blueprint,0.01
316,692,106,Stabber Blueprint,0.01
317,693,107,Tempest Blueprint,0.01
318,784,134,Miner II Blueprint,0.01
319,785,134,Miner I Blueprint,0.01
320,786,136,Light Missile Launcher I Blueprint,0.01
321,788,136,Heavy Missile Launcher I Blueprint,0.01
322,790,136,Torpedo Launcher I Blueprint,0.01
323,803,166,Mjolnir Cruise Missile Blueprint,0.01
324,804,166,Scourge Cruise Missile Blueprint,0.01
325,805,166,Inferno Cruise Missile Blueprint,0.01
326,806,166,Nova Cruise Missile Blueprint,0.01
327,807,166,Nova Heavy Missile Blueprint,0.01
328,808,166,Mjolnir Heavy Missile Blueprint,0.01
329,809,166,Inferno Heavy Missile Blueprint,0.01
330,810,166,Scourge Heavy Missile Blueprint,0.01
331,811,166,Scourge Light Missile Blueprint,0.01
332,812,166,Inferno Light Missile Blueprint,0.01
333,813,166,Mjolnir Light Missile Blueprint,0.01
334,814,166,Nova Light Missile Blueprint,0.01
335,819,135,125mm Gatling AutoCannon I Blueprint,0.01
336,820,135,150mm Light AutoCannon I Blueprint,0.01
337,821,135,200mm AutoCannon I Blueprint,0.01
338,822,135,250mm Light Artillery Cannon I Blueprint,0.01
339,823,135,280mm Howitzer Artillery I Blueprint,0.01
340,824,135,Dual 180mm AutoCannon I Blueprint,0.01
341,825,135,220mm Vulcan AutoCannon I Blueprint,0.01
342,826,135,425mm AutoCannon I Blueprint,0.01
343,827,135,650mm Artillery Cannon I Blueprint,0.01
344,828,135,720mm Howitzer Artillery I Blueprint,0.01
345,829,135,Dual 425mm AutoCannon I Blueprint,0.01
346,830,135,Dual 650mm Repeating Cannon I Blueprint,0.01
347,831,135,800mm Repeating Cannon I Blueprint,0.01
348,832,135,1200mm Artillery Cannon I Blueprint,0.01
349,833,135,1400mm Howitzer Artillery I Blueprint,0.01
350,834,133,Gatling Pulse Laser I Blueprint,0.01
351,835,133,Dual Light Pulse Laser I Blueprint,0.01
352,836,133,Dual Light Beam Laser I Blueprint,0.01
353,837,133,Small Focused Pulse Laser I Blueprint,0.01
354,838,133,Small Focused Beam Laser I Blueprint,0.01
355,839,133,Quad Light Beam Laser I Blueprint,0.01
356,840,133,Focused Medium Pulse Laser I Blueprint,0.01
357,841,133,Focused Medium Beam Laser I Blueprint,0.01
358,842,133,Heavy Pulse Laser I Blueprint,0.01
359,843,133,Heavy Beam Laser I Blueprint,0.01
360,844,133,Dual Heavy Pulse Laser I Blueprint,0.01
361,845,133,Dual Heavy Beam Laser I Blueprint,0.01
362,846,133,Mega Pulse Laser I Blueprint,0.01
363,847,133,Mega Beam Laser I Blueprint,0.01
364,848,133,Tachyon Beam Laser I Blueprint,0.01
365,879,165,Carbonized Lead S Blueprint,0.01
366,880,165,Nuclear S Blueprint,0.01
367,881,165,Proton S Blueprint,0.01
368,882,165,Depleted Uranium S Blueprint,0.01
369,883,165,Titanium Sabot S Blueprint,0.01
370,884,165,Fusion S Blueprint,0.01
371,885,165,Phased Plasma S Blueprint,0.01
372,886,165,EMP S Blueprint,0.01
373,887,165,Carbonized Lead M Blueprint,0.01
374,888,165,Nuclear M Blueprint,0.01
375,889,165,Proton M Blueprint,0.01
376,890,165,Depleted Uranium M Blueprint,0.01
377,891,165,Titanium Sabot M Blueprint,0.01
378,892,165,Fusion M Blueprint,0.01
379,893,165,Phased Plasma M Blueprint,0.01
380,894,165,EMP M Blueprint,0.01
381,895,165,Carbonized Lead L Blueprint,0.01
382,896,165,Nuclear L Blueprint,0.01
383,897,165,Proton L Blueprint,0.01
384,898,165,Depleted Uranium L Blueprint,0.01
385,899,165,Titanium Sabot L Blueprint,0.01
386,900,165,Fusion L Blueprint,0.01
387,901,165,Phased Plasma L Blueprint,0.01
388,902,165,EMP L Blueprint,0.01
389,935,105,Reaper Blueprint,0.01
390,936,105,Executioner Blueprint,0.01
391,937,105,Inquisitor Blueprint,0.01
392,938,105,Tormentor Blueprint,0.01
393,939,105,Navitas Blueprint,0.01
394,940,105,Tristan Blueprint,0.01
395,941,105,Incursus Blueprint,0.01
396,943,105,Impairor Blueprint,0.01
397,944,105,Punisher Blueprint,0.01
398,945,105,Breacher Blueprint,0.01
399,946,105,Burst Blueprint,0.01
400,947,105,Minmatar Peacekeeper Ship Blueprint,0.01
401,948,105,Ibis Blueprint,0.01
402,949,105,Kestrel Blueprint,0.01
403,950,105,Merlin Blueprint,0.01
404,952,105,Heron Blueprint,0.01
405,953,105,Velator Blueprint,0.01
406,954,105,Imicus Blueprint,0.01
407,955,105,Atron Blueprint,0.01
408,956,105,Maulus Blueprint,0.01
409,960,105,Devourer Blueprint,0.01
410,961,105,Fury Blueprint,0.01
411,962,105,Immolator Blueprint,0.01
412,963,105,Medusa Blueprint,0.01
413,964,105,Echo Blueprint,0.01
414,965,105,Lynx Blueprint,0.01
415,966,105,Swordspine Blueprint,0.01
416,967,111,Caldari Shuttle Blueprint,0.01
417,968,106,Moa Blueprint,0.01
418,969,106,Maller Blueprint,0.01
419,970,106,Augoror Blueprint,0.01
420,971,106,Vexor Blueprint,0.01
421,972,106,Thorax Blueprint,0.01
422,973,106,Arbitrator Blueprint,0.01
423,974,106,Rupture Blueprint,0.01
424,975,106,Bellicose Blueprint,0.01
425,976,106,Scythe Blueprint,0.01
426,977,106,Blackbird Blueprint,0.01
427,978,106,Celestis Blueprint,0.01
428,979,106,Exequror Blueprint,0.01
429,983,108,Badger Blueprint,0.01
430,984,108,Tayra Blueprint,0.01
431,985,108,Nereus Blueprint,0.01
432,986,108,Hoarder Blueprint,0.01
433,987,108,Mammoth Blueprint,0.01
434,988,108,Wreathe Blueprint,0.01
435,989,108,Kryos Blueprint,0.01
436,990,108,Epithal Blueprint,0.01
437,991,108,Miasmos Blueprint,0.01
438,992,108,Iteron Mark V Blueprint,0.01
439,994,107,Scorpion Blueprint,0.01
440,995,107,Megathron Blueprint,0.01
441,996,107,Apocalypse Blueprint,0.01
442,997,107,Armageddon Blueprint,0.01
443,998,107,Typhoon Blueprint,0.01
444,999,107,Dominix Blueprint,0.01
445,1002,110,Erebus Blueprint,0.01
446,1010,118,Small Shield Extender I Blueprint,0.01
447,1013,118,Small Shield Extender II Blueprint,0.01
448,1026,119,Shield Recharger I Blueprint,0.01
449,1027,119,Shield Recharger II Blueprint,0.01
450,1032,120,Small Shield Booster I Blueprint,0.01
451,1033,120,Small Shield Booster II Blueprint,0.01
452,1067,126,5MN Microwarpdrive I Blueprint,0.01
453,1071,126,1MN Afterburner II Blueprint,0.01
454,1072,126,1MN Afterburner I Blueprint,0.01
455,1073,126,5MN Microwarpdrive II Blueprint,0.01
456,1074,127,Cargo Scanner I Blueprint,0.01
457,1075,128,Ship Scanner I Blueprint,0.01
458,1076,129,Survey Scanner I Blueprint,0.01
459,1079,132,Warp Scrambler I Blueprint,0.01
460,1080,132,Warp Scrambler II Blueprint,0.01
461,1095,139,Gyrostabilizer II Blueprint,0.01
462,1096,139,Gyrostabilizer I Blueprint,0.01
463,1099,142,Small Armor Repairer I Blueprint,0.01
464,1100,143,Small Hull Repairer I Blueprint,0.01
465,1102,145,Stasis Webifier I Blueprint,0.01
466,1103,145,Stasis Webifier II Blueprint,0.01
467,1105,147,Small Remote Capacitor Transmitter I Blueprint,0.01
468,1106,148,Small Energy Nosferatu I Blueprint,0.01
469,1109,151,Small Energy Neutralizer I Blueprint,0.01
470,1112,154,75mm Gatling Rail I Blueprint,0.01
471,1113,154,Light Electron Blaster I Blueprint,0.01
472,1114,154,Light Ion Blaster I Blueprint,0.01
473,1115,154,Light Neutron Blaster I Blueprint,0.01
474,1116,154,150mm Railgun I Blueprint,0.01
475,1117,154,Heavy Electron Blaster I Blueprint,0.01
476,1118,154,Dual 150mm Railgun I Blueprint,0.01
477,1119,154,Heavy Neutron Blaster I Blueprint,0.01
478,1120,154,Heavy Ion Blaster I Blueprint,0.01
479,1121,154,250mm Railgun I Blueprint,0.01
480,1122,154,Electron Blaster Cannon I Blueprint,0.01
481,1123,154,Dual 250mm Railgun I Blueprint,0.01
482,1124,154,Neutron Blaster Cannon I Blueprint,0.01
483,1125,154,425mm Railgun I Blueprint,0.01
484,1126,154,Ion Blaster Cannon I Blueprint,0.01
485,1128,156,Medium Capacitor Booster I Blueprint,0.01
486,1129,157,Multispectrum Shield Hardener I Blueprint,0.01
487,1130,167,Iron Charge S Blueprint,0.01
488,1131,167,Tungsten Charge S Blueprint,0.01
489,1132,167,Iridium Charge S Blueprint,0.01
490,1133,167,Lead Charge S Blueprint,0.01
491,1134,167,Thorium Charge S Blueprint,0.01
492,1135,167,Uranium Charge S Blueprint,0.01
493,1136,167,Plutonium Charge S Blueprint,0.01
494,1137,167,Antimatter Charge S Blueprint,0.01
495,1138,167,Iron Charge M Blueprint,0.01
496,1139,167,Tungsten Charge M Blueprint,0.01
497,1140,167,Iridium Charge M Blueprint,0.01
498,1141,167,Lead Charge M Blueprint,0.01
499,1142,167,Thorium Charge M Blueprint,0.01
500,1143,167,Uranium Charge M Blueprint,0.01
501,1144,167,Plutonium Charge M Blueprint,0.01
502,1145,167,Antimatter Charge M Blueprint,0.01
503,1146,167,Iron Charge L Blueprint,0.01
504,1147,167,Tungsten Charge L Blueprint,0.01
505,1148,167,Iridium Charge L Blueprint,0.01
506,1149,167,Lead Charge L Blueprint,0.01
507,1150,167,Thorium Charge L Blueprint,0.01
508,1151,167,Uranium Charge L Blueprint,0.01
509,1152,167,Plutonium Charge L Blueprint,0.01
510,1153,167,Antimatter Charge L Blueprint,0.01
511,1154,168,Radio S Blueprint,0.01
512,1155,168,Microwave S Blueprint,0.01
513,1156,168,Infrared S Blueprint,0.01
514,1157,168,Standard S Blueprint,0.01
515,1158,168,Ultraviolet S Blueprint,0.01
516,1159,168,Xray S Blueprint,0.01
517,1160,168,Gamma S Blueprint,0.01
518,1161,168,Multifrequency S Blueprint,0.01
519,1162,168,Radio M Blueprint,0.01
520,1163,168,Microwave M Blueprint,0.01
521,1164,168,Infrared M Blueprint,0.01
522,1165,168,Standard M Blueprint,0.01
523,1166,168,Ultraviolet M Blueprint,0.01
524,1167,168,Xray M Blueprint,0.01
525,1168,168,Gamma M Blueprint,0.01
526,1169,168,Multifrequency M Blueprint,0.01
527,1170,168,Radio L Blueprint,0.01
528,1171,168,Microwave L Blueprint,0.01
529,1172,168,Infrared L Blueprint,0.01
530,1173,168,Standard L Blueprint,0.01
531,1174,168,Ultraviolet L Blueprint,0.01
532,1175,168,Xray L Blueprint,0.01
533,1176,168,Gamma L Blueprint,0.01
534,1177,168,Multifrequency L Blueprint,0.01
535,1178,169,Cap Booster 25 Blueprint,0.01
536,1179,169,Cap Booster 50 Blueprint,0.01
537,1182,96,Auto Targeting System I,5.0
538,1183,62,Small Armor Repairer II,5.0
539,1184,142,Small Armor Repairer II Blueprint,0.01
540,1185,61,Small Cap Battery I,5.0
541,1186,141,Small Cap Battery I Blueprint,0.01
542,1190,67,Small Remote Capacitor Transmitter II,5.0
543,1191,147,Small Remote Capacitor Transmitter II Blueprint,0.01
544,1192,764,'Basic' Overdrive Injector System,5.0
545,1193,98,'Basic' EM Coating,5.0
546,1194,99,Amarr Sentry Gun,1000.0
547,1195,43,Cap Recharger I,5.0
548,1196,123,Cap Recharger I Blueprint,0.01
549,1197,98,EM Coating I,5.0
550,1198,98,EM Coating II,5.0
551,1201,100,Wasp I,25.0
552,1202,101,Civilian Mining Drone,5.0
553,1204,163,EM Coating I Blueprint,0.01
554,1205,163,EM Coating II Blueprint,0.01
555,1208,162,Auto Targeting System I Blueprint,0.01
556,1210,160,Burst Jammer I Blueprint,0.01
557,1212,161,Passive Targeter I Blueprint,0.01
558,1214,176,Wasp I Blueprint,0.01
559,1216,166,Mjolnir Auto-Targeting Light Missile I Blueprint,0.01
560,1217,174,Python Mine Blueprint,0.01
561,1218,177,Civilian Mining Drone Blueprint,0.01
562,1220,166,Scourge Rocket Blueprint,0.01
563,1221,166,Scourge Torpedo Blueprint,0.01
564,1223,451,Bistot,16.0
565,1224,459,Pyroxeres,0.3
566,1225,452,Crokite,16.0
567,1226,456,Jaspet,2.0
568,1227,469,Omber,0.6
569,1228,460,Scordite,0.15
570,1229,467,Gneiss,5.0
571,1230,462,Veldspar,0.1
572,1231,455,Hemorphite,3.0
573,1232,453,Dark Ochre,8.0
574,1233,237,Polaris Enigma Frigate,2500.0
575,1236,764,Overdrive Injector System II,5.0
576,1237,158,Overdrive Injector System II Blueprint,0.01
577,1240,78,'Basic' Reinforced Bulkheads,5.0
578,1242,763,'Basic' Nanofiber Internal Structure,5.0
579,1244,764,Overdrive Injector System I,5.0
580,1245,158,Overdrive Injector System I Blueprint,0.01
581,1246,768,Capacitor Flux Coil I,5.0
582,1247,137,Capacitor Flux Coil I Blueprint,0.01
583,1248,768,Capacitor Flux Coil II,5.0
584,1249,137,Capacitor Flux Coil II Blueprint,0.01
585,1254,770,Shield Flux Coil I,5.0
586,1255,137,Shield Flux Coil I Blueprint,0.01
587,1256,770,Shield Flux Coil II,5.0
588,1257,137,Shield Flux Coil II Blueprint,0.01
589,1262,98,'Basic' Explosive Coating,5.0
590,1264,98,Explosive Coating I,5.0
591,1265,163,Explosive Coating I Blueprint,0.01
592,1266,98,Explosive Coating II,5.0
593,1267,163,Explosive Coating II Blueprint,0.01
594,1272,98,'Basic' Layered Coating,5.0
595,1274,98,Layered Coating I,5.0
596,1275,163,Layered Coating I Blueprint,0.01
597,1276,98,Layered Coating II,5.0
598,1277,163,Layered Coating II Blueprint,0.01
599,1282,98,'Basic' Kinetic Coating,5.0
600,1284,98,Kinetic Coating I,5.0
601,1285,163,Kinetic Coating I Blueprint,0.01
602,1286,98,Kinetic Coating II,5.0
603,1287,163,Kinetic Coating II Blueprint,0.01
604,1292,98,'Basic' Thermal Coating,5.0
605,1294,98,Thermal Coating I,5.0
606,1295,163,Thermal Coating I Blueprint,0.01
607,1296,98,Thermal Coating II,5.0
608,1297,163,Thermal Coating II Blueprint,0.01
609,1302,98,'Basic' Multispectrum Coating,5.0
610,1304,98,Multispectrum Coating I,5.0
611,1305,163,Multispectrum Coating I Blueprint,0.01
612,1306,98,Multispectrum Coating II,5.0
613,1307,163,Multispectrum Coating II Blueprint,0.01
614,1315,765,'Basic' Expanded Cargohold,5.0
615,1317,765,Expanded Cargohold I,5.0
616,1318,158,Expanded Cargohold I Blueprint,0.01
617,1319,765,Expanded Cargohold II,5.0
618,1320,158,Expanded Cargohold II Blueprint,0.01
619,1333,78,Reinforced Bulkheads I,25.0
620,1334,158,Reinforced Bulkheads I Blueprint,0.01
621,1335,78,Reinforced Bulkheads II,5.0
622,1336,158,Reinforced Bulkheads II Blueprint,0.01
623,1351,769,Basic Reactor Control Unit,5.0
624,1353,769,Reactor Control Unit I,5.0
625,1354,137,Reactor Control Unit I Blueprint,0.01
626,1355,769,Reactor Control Unit II,5.0
627,1356,137,Reactor Control Unit II Blueprint,0.01
628,1373,1,CharacterType,1.0
629,1374,1,CharacterLegacy10,1.0
630,1375,1,CharacterLegacy3,1.0
631,1376,1,CharacterLegacy4,1.0
632,1377,1,CharacterLegacy5,1.0
633,1378,1,CharacterLegacy6,1.0
634,1379,1,CharacterLegacy11,1.0
635,1380,1,CharacterLegacy2,1.0
636,1381,1,CharacterLegacy12,1.0
637,1382,1,CharacterLegacy9,1.0
638,1383,1,CharacterLegacy1,1.0
639,1384,1,CharacterLegacy7,1.0
640,1385,1,CharacterLegacy8,1.0
641,1386,1,CharacterLegacy13,1.0
642,1401,762,'Basic' Inertial Stabilizers,5.0
643,1403,762,Inertial Stabilizers I,5.0
644,1404,158,Inertial Stabilizers I Blueprint,0.01
645,1405,762,Inertial Stabilizers II,5.0
646,1406,158,Inertial Stabilizers II Blueprint,0.01
647,1419,57,'Basic' Shield Power Relay,5.0
648,1422,57,Shield Power Relay II,5.0
649,1423,137,Shield Power Relay II Blueprint,0.01
650,1436,96,Auto Targeting System II,5.0
651,1437,162,Auto Targeting System II Blueprint,0.01
